"hhid","fhh","covid_shock","ag_comm","irrigation","drought","flood","extension_training","animal_ded_area","rice","feed_Chickens","feed_Cattle"
"HID100224",0,1,2,1,0,0,NA,1,1,1,NA
"HID100368",0,1,2,1,0,1,NA,1,0,1,NA
"HID100532",1,2,2,1,0,1,NA,1,1,1,NA
"HID100543",1,1,2,1,0,0,NA,1,1,1,1
"HID100682",0,1,2,NA,0,0,NA,1,0,2,NA
"HID100967",0,2,2,1,1,0,NA,1,1,1,NA
"HID101054",0,1,2,0,0,0,NA,1,0,1,NA
"HID101094",0,2,2,1,0,0,NA,1,1,1,1
"HID101229",0,1,2,0,1,0,NA,1,1,1,1
"HID101249",0,1,2,1,0,0,NA,1,1,1,NA
"HID101429",0,1,2,1,0,0,NA,1,1,2,NA
"HID101461",0,1,1,1,0,0,NA,1,1,1,1
"HID101580",1,1,2,0,0,0,NA,1,0,1,NA
"HID101639",0,1,2,1,1,0,NA,1,1,1,NA
"HID101666",0,1,2,0,0,1,NA,1,1,1,NA
"HID101774",0,1,2,1,0,0,NA,1,0,1,NA
"HID101853",0,1,2,1,0,0,NA,0,1,1,1
"HID101901",1,1,2,1,0,0,NA,1,1,2,2
"HID101937",0,1,2,1,0,0,NA,0,0,2,NA
"HID102093",0,1,2,1,1,0,NA,1,0,2,NA
"HID102185",1,1,2,1,0,0,NA,1,1,1,NA
"HID102269",0,1,2,0,0,0,NA,1,1,2,NA
"HID102336",0,1,2,1,0,0,NA,1,1,1,NA
"HID102342",0,1,2,1,0,0,NA,1,0,2,NA
"HID102398",0,2,2,1,0,0,NA,1,1,2,NA
"HID102464",0,1,2,1,1,0,NA,1,1,1,NA
"HID102469",1,1,2,1,0,1,NA,1,1,2,1
"HID102658",0,1,2,1,0,0,NA,1,1,2,1
"HID102760",0,2,2,NA,0,0,NA,1,0,1,NA
"HID102780",0,1,2,1,0,1,NA,1,0,1,1
"HID102869",0,1,2,0,0,0,NA,1,0,NA,2
"HID102900",1,1,2,1,0,0,NA,1,1,1,NA
"HID102936",0,1,2,1,0,0,NA,1,1,1,1
"HID103054",0,1,2,1,0,0,NA,1,1,NA,NA
"HID103069",1,1,2,1,0,0,NA,1,1,NA,1
"HID103072",0,1,2,1,0,0,NA,1,1,2,1
"HID103155",0,1,2,1,0,0,NA,1,1,1,1
"HID103168",1,2,2,1,0,0,NA,1,0,NA,2
"HID103193",0,1,1,1,0,1,NA,1,1,1,1
"HID103228",1,1,2,1,0,0,NA,1,1,1,1
"HID103377",0,1,2,1,1,0,NA,1,1,2,NA
"HID103410",0,1,2,0,0,0,NA,0,0,1,NA
"HID103456",0,1,2,1,0,0,NA,1,0,1,NA
"HID103520",0,1,2,1,1,0,NA,1,1,2,NA
"HID103658",0,1,2,0,0,1,NA,1,1,NA,1
"HID103695",0,1,2,1,0,0,NA,1,1,2,1
"HID103705",0,1,2,1,0,0,NA,1,1,1,1
"HID103754",0,1,2,0,0,0,NA,1,0,2,NA
"HID103871",0,1,2,0,0,0,NA,1,1,NA,1
"HID103888",0,1,2,1,0,0,NA,1,1,1,NA
"HID104066",0,1,2,1,0,0,NA,1,1,1,1
"HID104070",0,1,2,1,0,0,NA,1,1,1,NA
"HID104134",0,1,2,1,0,0,NA,1,1,1,NA
"HID104161",0,2,2,1,0,0,NA,1,1,2,NA
"HID104427",0,1,2,0,0,0,NA,1,1,2,1
"HID104460",1,1,2,1,0,0,NA,1,1,NA,1
"HID104658",0,1,2,1,1,0,NA,1,1,1,NA
"HID104683",1,1,2,1,0,1,NA,1,1,1,NA
"HID104701",1,1,2,1,0,0,NA,0,1,1,NA
"HID104736",0,1,2,1,1,0,NA,0,1,2,NA
