"hhid","province","raised_Poultry","raised_cattle_buffalo","raised_Livestock","raised_Livestock_Poultry","ag_area","ag_hh","zone","fhh","edu_hh","edu_hh_head","covid_shock","ag_comm","ag_assoc","ag_comm_assoc","animal_area","animal_ded_area","homelot_area","parcel_area","holding_area","animal_area_rate","rice","rice_harv_sold_pct","sold_rice","rice_area_agland_pct","rice_area_total_pct","rice_price_impt","value_rice_prod","rice_price","cashew","area_cashew_harvested","area_cashew_planted","qty_cashew_harvested","qty_cashew_own_use","qty_cashew_sale","cashew_harv_sold_pct","sold_cashew","cashew_area_agland_pct","cashew_area_total_pct","cashew_price_impt","value_cashew_prod","cashew_price","animal_disease","irrigation","drought","flood","ag_extension_training","family_hours","family_full_days","family_work_days"
"HID100224",21,1,0,0,1,0.6204,1,"Plain",0,2,1,0,0,0,0,0.0003999999898952,1,0.05,0.6,0.64999998,0.0006153846,1,0,0,0.96711797,0.92307693,1,2790000,930,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1,376,47,212
"HID100368",8,1,0,1,1,0.0815,1,"Plain",0,2,2,0,0,0,0,0.0015000000130385,1,0.109,NA,0.109,0.013761468,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,1,0,600,75,300
"HID100419",6,NA,NA,NA,NA,2.5432,1,"Tonle Sap",0,1,1,0,1,0,1,NA,0,0.2,2.36,2.5599999,NA,1,0.42857143,1,0.92796475,0.921875,0,19600000,700,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,1,0,1,280,35,100
"HID100532",21,1,0,0,1,1.507,1,"Plain",1,2,1,1,0,0,0,0.0020000000949949,1,0.064,1.5,1.564,0.0012787725,1,0.5,1,0.99535501,0.95907927,0,42240000,880,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,1,0,540,67.5,135
"HID100535",17,NA,NA,NA,NA,0.006,1,"Tonle Sap",1,3,1,0,0,0,0,NA,0,0.099,NA,0.098999999,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,1,436,54.5,236
"HID100543",22,1,1,1,1,0.0305,1,"Tonle Sap",1,1,1,0,0,0,0,0.0005000000237487,1,0.078,0.03,0.108,0.0046296297,1,0,0,0.98360658,0.27777776,1,340000,850,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,1920,240,240
"HID100682",9,1,0,0,1,0.0012,1,"Coastal",0,2,2,0,0,0,0,0.0012000000569969,1,0.03,NA,0.029999999,0.040000003,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,528,66,264
"HID100914",19,NA,NA,NA,NA,35,1,"Mountain",0,1,1,0,0,0,0,NA,0,0.106,20,20.106001,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,56,7,7
"HID100967",14,1,0,0,1,2.601,1,"Plain",0,3,2,1,0,0,0,0.0010000000474975,1,0.4,2.3,2.7,0.00037037037,1,0.30000001,1,0.88427526,0.85185182,0,9000000,900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,1,0,0,1870,233.75,734
"HID101054",3,1,0,0,1,0.006,1,"Plain",0,1,1,0,0,0,0,0.0010000000474975,1,0.035,NA,0.035,0.028571431,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,240,30,240
"HID101094",13,1,1,1,1,4.612,1,"Mountain",0,2,1,1,0,1,0,0.0120000001043081,1,0.3,4.5,4.8000002,0.0024999999,1,0.25,1,0.54206419,0.52083331,0,15400000,1100,1,2,2,600,0,300,0.5,1,0.43365136,0.41666666,0,2700000,4500,0,0,0,0,1,1946,243.25,306
"HID101229",4,1,1,1,1,0.405,1,"Tonle Sap",0,2,1,0,0,0,0,0.0020000000949949,1,0.03,0.4,0.43000001,0.0046511628,1,0.10964912,1,0.74074072,0.69767439,0,4560000,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,1,0,0,5280,660,840
"HID101249",14,1,0,0,1,2.0566,1,"Plain",0,3,2,0,0,0,0,0.0006000000284985,1,0.3,2.05,2.3499999,0.00025531917,1,0.30952382,1,0.99679083,0.87234044,0,16800000,800,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,95,11.875,55
"HID101275",9,NA,NA,NA,NA,0,0,"Coastal",0,1,0,0,0,0,0,NA,0,0.0098,NA,0.0098000001,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,1,1420,177.5,280
"HID101429",25,1,0,0,1,4.0012,1,"Plain",0,1,1,0,0,0,0,0.0010000000474975,1,0.1122,3.7,3.8122001,0.00026231573,1,0.44444445,1,0.9747076,1.0230314,0,18900000,1050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,1,300,37.5,75
"HID101461",7,1,1,1,1,0.4046,1,"Coastal",0,2,1,0,1,1,1,0.0006000000284985,1,0.12,0.4,0.51999998,0.0011538463,1,0,0,0.98863077,0.76923078,1,1907400,1020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,90,11.25,18
"HID101580",20,1,0,0,1,0.016,1,"Plain",1,2,2,0,0,0,0,0.003000000026077,1,0.2,1.1,1.3,0.0023076923,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,570,71.25,390
"HID101639",1,1,0,0,1,2.0031,1,"Tonle Sap",0,2,1,0,0,0,0,0.0006000000284985,1,0.0858,NA,0.0858,0.0069930074,1,0,0,0.99845243,23.310024,1,720000,900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,1,0,0,288,36,36
"HID101666",25,1,0,0,1,1.3003,1,"Plain",0,2,1,0,0,0,0,0.0003000000142492,1,0.075,1.3,1.375,0.00021818183,1,0.1875,1,0.76905328,0.72727275,0,5040000,1050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,1,0,380,47.5,160
"HID101774",19,1,0,0,1,10.001,1,"Mountain",0,3,2,0,0,0,0,0.0010000000474975,1,0.003,10,10.003,9.9970013e-05,0,NA,NA,NA,NA,0,NA,NA,1,10,10,6000,0,3000,0.5,1,0.99989998,0.99970007,0,24000000,4000,0,0,0,0,0,776,97,97
"HID101781",25,NA,NA,NA,NA,0.63,1,"Plain",0,2,0,0,0,0,0,NA,0,0.06,0.6,0.66000003,NA,1,0,0,0.95238096,0.90909088,1,3800000,950,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,728,91,201
"HID101853",5,1,1,1,1,0.3002,1,"Mountain",0,1,0,0,0,0,0,NA,0,0.08,0.3,0.38,NA,1,0,0,0.9993338,0.78947371,1,880000,1100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,256,32,32
"HID101901",4,1,1,1,1,1.012,1,"Tonle Sap",1,1,1,0,0,0,0,0.0020000000949949,1,0.15,0.91,1.0600001,0.0018867925,1,0,0,0.8992095,0.85849053,1,2070000,900,1,NA,NA,60,0,30,0.5,1,NA,NA,0,180000,3000,0,1,0,0,0,1600,200,200
"HID101937",25,1,0,1,1,3.1015,1,"Plain",0,2,1,0,0,0,0,NA,0,0.06,3.1,3.1600001,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,1,3878,484.75,654
"HID102093",1,1,0,0,1,3.5535,1,"Tonle Sap",0,2,2,0,0,0,0,0.0015000000130385,1,0.078,3.5,3.5780001,0.00041922863,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,1,0,0,327,40.875,47
"HID102146",8,NA,NA,NA,NA,0.285,1,"Plain",0,2,2,0,0,0,0,NA,0,0.15,0.24,0.39000002,NA,1,0,0,0.84210527,0.61538458,1,1260000,900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,1640,205,660
"HID102154",21,NA,NA,NA,NA,0.1005,1,"Plain",1,1,1,0,0,0,0,NA,0,0.024,0.1,0.124,NA,1,0,0,0.99502486,0.80645162,1,1116000,930,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,54,6.75,18
"HID102185",22,1,0,0,1,4.01,1,"Tonle Sap",1,2,0,0,0,0,0,0.0049999998882413,1,0.25,4,4.25,0.0011764705,1,0.25,1,0.24937657,0.23529412,0,4000000,1000,1,3,3,20000,0,10000,0.5,1,0.74812967,0.70588237,0,80000000,4000,0,0,0,0,0,624,78,144
"HID102223",12,NA,NA,NA,NA,0.286,1,"Phnom Penh",1,1,1,0,0,0,0,NA,0,0.04,0.28,0.31999999,NA,1,0,0,0.97902095,0.875,1,2160000,1200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,96,12,48
"HID102269",25,1,0,0,1,0.5318,1,"Plain",0,2,1,0,0,0,0,0.0006000000284985,1,0.0266,0.65,0.67659998,0.00088678696,1,0.375,1,0.99661529,0.78332841,0,6400000,800,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,1060,132.5,370
"HID102336",14,1,0,0,1,1.0215,1,"Plain",0,2,2,0,0,0,0,0.0015000000130385,1,0.15,0.8,0.94999999,0.0015789474,1,0,0,0.97895253,1.0526316,1,5161500,930,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,240,30,120
