"hhid","weight","province","zone"
"HID100224",170.260098996154,21,"Plain"
"HID100368",36.0854112455925,8,"Plain"
"HID100419",152.125549804321,6,"Tonle Sap"
"HID100532",67.2209861254816,21,"Plain"
"HID100535",38.3172456533217,17,"Tonle Sap"
"HID100543",308.370182312982,22,"Tonle Sap"
"HID100682",47.9769670691174,9,"Coastal"
"HID100914",43.1967098563428,19,"Mountain"
"HID100967",29.3702156390264,14,"Plain"
"HID101054",136.136547329837,3,"Plain"
"HID101094",236.36597860688,13,"Mountain"
"HID101229",183.555231597254,4,"Tonle Sap"
"HID101249",173.232135803738,14,"Plain"
"HID101275",125.395886266673,9,"Coastal"
"HID101429",33.6230445230251,25,"Plain"
"HID101461",212.825885032904,7,"Coastal"
"HID101580",49.092741535515,20,"Plain"
"HID101639",117.336913664076,1,"Tonle Sap"
"HID101666",27.4431079901459,25,"Plain"
"HID101774",173.362795519052,19,"Mountain"
"HID101781",219.678984297106,25,"Plain"
"HID101853",20.8782727152829,5,"Mountain"
"HID101901",199.819962973598,4,"Tonle Sap"
"HID101937",25.3503242142841,25,"Plain"
"HID102093",53.5226326415698,1,"Tonle Sap"
"HID102146",259.561730059676,8,"Plain"
"HID102154",122.038099820856,21,"Plain"
"HID102185",141.017420848742,22,"Tonle Sap"
"HID102223",101.001924714391,12,"Phnom Penh"
"HID102269",68.098621405269,25,"Plain"
"HID102336",205.205716216627,14,"Plain"
"HID102342",31.7968518898988,13,"Mountain"
"HID102398",232.572821935822,4,"Tonle Sap"
"HID102464",119.21448573272,6,"Tonle Sap"
"HID102469",130.18890917964,14,"Plain"
"HID102510",302.531767793899,16,"Mountain"
"HID102593",74.4541311219573,12,"Phnom Penh"
"HID102658",173.075645730317,7,"Coastal"
"HID102760",120.531929816541,1,"Tonle Sap"
"HID102780",219.678984297106,25,"Plain"
"HID102869",43.4806581363119,8,"Plain"
"HID102900",165.499331967945,3,"Plain"
"HID102936",127.899654657133,14,"Plain"
"HID103054",43.1823703407395,2,"Tonle Sap"
"HID103069",135.80680477974,3,"Plain"
"HID103072",122.492572868228,6,"Tonle Sap"
"HID103155",113.670595925804,5,"Mountain"
"HID103168",318.632747750347,17,"Tonle Sap"
"HID103184",103.222431012431,7,"Coastal"
"HID103193",143.648684221016,10,"Mountain"
"HID103228",109.530395876755,6,"Tonle Sap"
"HID103377",40.4118567230898,1,"Tonle Sap"
"HID103410",26.5686298270224,7,"Coastal"
"HID103456",39.7134997447232,16,"Mountain"
"HID103520",53.5226326415698,1,"Tonle Sap"
"HID103658",111.826703402707,14,"Plain"
"HID103695",31.0827934453669,11,"Mountain"
"HID103705",127.508584061211,17,"Tonle Sap"
"HID103754",129.11051985447,4,"Tonle Sap"
"HID103871",194.071749070342,5,"Mountain"
"HID103888",33.0341921930608,10,"Mountain"
"HID104066",251.187664821125,7,"Coastal"
"HID104070",153.352861161688,17,"Tonle Sap"
"HID104121",197.682774751135,7,"Coastal"
"HID104134",134.720359216854,14,"Plain"
"HID104161",36.7914967933037,2,"Tonle Sap"
"HID104276",175.29108883755,21,"Plain"
"HID104427",163.053360903834,14,"Plain"
"HID104451",620.625152716088,2,"Tonle Sap"
"HID104460",527.219526945053,25,"Plain"
"HID104658",114.371714306093,10,"Mountain"
"HID104683",141.017420848742,22,"Tonle Sap"
"HID104701",278.408789667548,14,"Plain"
"HID104736",265.522946587909,1,"Tonle Sap"
"HID104757",165.158228441633,21,"Plain"
"HID104838",134.151511228373,21,"Plain"
"HID104888",97.3567474558766,17,"Tonle Sap"
"HID104976",33.0341921930608,10,"Mountain"
"HID105056",84.8388959501805,2,"Tonle Sap"
"HID105088",88.3530540777897,5,"Mountain"
"HID105089",71.0730553769967,21,"Plain"
"HID105223",53.2575783017309,12,"Phnom Penh"
"HID105238",56.0442157226641,10,"Mountain"
"HID105396",53.5789204297473,3,"Plain"
"HID105421",292.288069911092,25,"Plain"
"HID105463",19.2258338542248,8,"Plain"
"HID105512",42.0230182953584,10,"Mountain"
"HID105522",146.134133200058,21,"Plain"
"HID105558",332.516098278753,13,"Mountain"
"HID105581",150.072422394868,8,"Plain"
"HID105641",96.7423271221021,15,"Tonle Sap"
"HID105651",142.394119408774,14,"Plain"
"HID105671",178.731568716674,14,"Plain"
"HID105679",303.08585728705,25,"Plain"
"HID105749",133.40729529218,14,"Plain"
"HID105856",146.555990336156,7,"Coastal"
"HID106028",165.058314131436,21,"Plain"
"HID106048",91.7956341828632,20,"Plain"
"HID106083",62.3467684139214,13,"Mountain"
"HID106111",36.191337106368,8,"Plain"
"HID106130",208.263212487607,8,"Plain"
"HID106132",45.3292890155202,18,"Coastal"
"HID106217",126.09390861899,8,"Plain"
"HID106460",74.4541311219573,12,"Phnom Penh"
"HID106578",62.85937930464,3,"Plain"
"HID106595",191.347914783005,14,"Plain"
"HID106611",57.5085223285817,9,"Coastal"
"HID106654",272.084943887863,21,"Plain"
"HID106688",280.495460276028,22,"Tonle Sap"
"HID106760",127.121434530941,2,"Tonle Sap"
"HID106860",29.9003756078918,7,"Coastal"
"HID106901",87.6184086720067,14,"Plain"
"HID106911",134.836434868185,2,"Tonle Sap"
"HID107022",221.796284716477,5,"Mountain"
"HID107133",179.365070370052,2,"Tonle Sap"
"HID107170",153.031187666554,4,"Tonle Sap"
"HID107299",66.954452872353,3,"Plain"
"HID107498",148.596594891663,NA,""
"HID107534",106.595876707456,4,"Tonle Sap"
"HID107651",221.031781456178,25,"Plain"
"HID107659",76.7447858311296,1,"Tonle Sap"
"HID107761",79.6337398902446,12,"Phnom Penh"
"HID107814",177.5544119925,7,"Coastal"
"HID107864",17.7919193561395,5,"Mountain"
"HID107881",35.3298354421175,13,"Mountain"
"HID107911",65.3842825573048,3,"Plain"
"HID107933",112.771751373874,2,"Tonle Sap"
"HID107972",88.715851370492,14,"Plain"
"HID108148",103.081070894927,17,"Tonle Sap"
"HID108184",27.841009123401,3,"Plain"
"HID108232",163.646959814878,1,"Tonle Sap"
"HID108235",131.431626483865,5,"Mountain"
"HID108427",182.004656172178,3,"Plain"
"HID108429",194.472585742093,5,"Mountain"
"HID108438",28.7702592443942,20,"Plain"
"HID108512",137.95758277662,8,"Plain"
"HID108514",221.031781456178,25,"Plain"
"HID108631",140.301992630408,5,"Mountain"
"HID108721",302.531767793899,16,"Mountain"
"HID108728",141.109956771031,3,"Plain"
"HID108753",94.2258970498665,3,"Plain"
"HID108772",197.306877689866,4,"Tonle Sap"
"HID108792",117.063853526282,2,"Tonle Sap"
"HID108846",70.1432666030788,8,"Plain"
"HID108992",123.966766742036,20,"Plain"
"HID108998",163.083283422538,3,"Plain"
"HID109249",32.5524999443103,NA,""
"HID109351",31.2807357949589,2,"Tonle Sap"
"HID109386",45.1683303176575,1,"Tonle Sap"
"HID109461",59.5864233155618,17,"Tonle Sap"
"HID109598",126.09390861899,8,"Plain"
"HID109674",149.720324043454,1,"Tonle Sap"
"HID109737",29.189695686443,10,"Mountain"
"HID109782",85.5910167591661,8,"Plain"
"HID109810",122.410698523925,20,"Plain"
"HID109882",138.225830741867,14,"Plain"
"HID109957",130.423190272518,NA,""
"HID110027",31.0158142357366,18,"Coastal"
"HID110108",127.006022460536,21,"Plain"
"HID110228",101.412356622926,3,"Plain"
"HID110240",32.4019588437579,10,"Mountain"
"HID110284",197.968492277924,2,"Tonle Sap"
"HID110583",148.360666026001,3,"Plain"
"HID110679",352.312930553354,1,"Tonle Sap"
"HID110713",38.365754231117,3,"Plain"
"HID110771",274.696658302189,25,"Plain"
"HID110781",55.4583299505234,3,"Plain"
"HID110801",111.863335418461,25,"Plain"
"HID110921",149.416690605976,20,"Plain"
"HID110925",45.6948605058262,17,"Tonle Sap"
"HID111135",52.6003632690681,9,"Coastal"
"HID111218",83.1375293758275,6,"Tonle Sap"
"HID111255",48.0310480690508,17,"Tonle Sap"
"HID111261",224.984127458349,25,"Plain"
"HID111264",84.5683399778806,3,"Plain"
"HID111268",159.463117112308,21,"Plain"
"HID111387",64.0476996108767,8,"Plain"
"HID111432",129.806734297738,7,"Coastal"
"HID111471",64.367359673083,20,"Plain"
"HID111477",243.29286180513,17,"Tonle Sap"
"HID111500",122.458244029332,17,"Tonle Sap"
"HID111781",26.1075891214138,17,"Tonle Sap"
"HID111841",109.183091743161,2,"Tonle Sap"
"HID111910",66.0900911863215,2,"Tonle Sap"
"HID111913",124.004286400111,5,"Mountain"
"HID111938",353.937773518033,10,"Mountain"
"HID112078",122.63415335023,3,"Plain"
"HID112165",26.9016626840412,17,"Tonle Sap"
"HID112252",87.7603865374436,5,"Mountain"
"HID112413",150.072422394868,8,"Plain"
"HID112569",108.402586477772,4,"Tonle Sap"
"HID112624",436.901137484414,22,"Tonle Sap"
"HID112681",188.625876185664,3,"Plain"
"HID112689",127.950314262654,20,"Plain"
"HID112695",144.966470052645,21,"Plain"
"HID112714",30.6418884086934,13,"Mountain"
"HID112717",118.927324715864,21,"Plain"
"HID112719",158.473636273696,5,"Mountain"
"HID112794",36.0390334685343,6,"Tonle Sap"
"HID112852",150.741643876468,4,"Tonle Sap"
"HID113000",103.435535408909,21,"Plain"
"HID113021",85.9864789842681,6,"Tonle Sap"
"HID113136",45.4061932965412,10,"Mountain"
"HID113198",173.806007870562,5,"Mountain"
"HID113262",161.764856144805,7,"Coastal"
"HID113322",244.209385568887,8,"Plain"
"HID113334",56.408023023916,8,"Plain"
"HID113341",173.042812897435,6,"Tonle Sap"
"HID113359",88.2388568366669,4,"Tonle Sap"
"HID113431",32.1148887582249,2,"Tonle Sap"
"HID113460",32.7371316167135,5,"Mountain"
"HID113655",92.0448339563235,3,"Plain"
"HID113677",139.01943891074,3,"Plain"
"HID113724",44.8516605564784,17,"Tonle Sap"
"HID113788",31.2346608949007,17,"Tonle Sap"
"HID113897",20.8782727152829,5,"Mountain"
"HID113952",177.583496997505,5,"Mountain"
"HID113968",262.373191518959,6,"Tonle Sap"
"HID113990",35.3630504290418,2,"Tonle Sap"
"HID114080",123.394518707596,14,"Plain"
"HID114096",186.924955102005,17,"Tonle Sap"
"HID114186",35.8602976212529,2,"Tonle Sap"
"HID114252",189.532458963649,8,"Plain"
"HID114366",283.74870052463,15,"Tonle Sap"
"HID114482",124.67112343252,20,"Plain"
"HID114551",159.28434917495,20,"Plain"
"HID114611",138.201368141787,21,"Plain"
"HID114653",203.964452124079,21,"Plain"
"HID114689",33.1726874702928,8,"Plain"
"HID114704",196.919271863716,17,"Tonle Sap"
"HID114730",184.937732675581,8,"Plain"
"HID114876",133.439395171046,5,"Mountain"
"HID114980",193.264464213289,17,"Tonle Sap"
"HID115123",122.038099820856,21,"Plain"
"HID115212",23.9194675614063,21,"Plain"
"HID115249",177.570331982644,15,"Tonle Sap"
"HID115257",163.257799090269,8,"Plain"
"HID115391",84.8584215109487,21,"Plain"
"HID115392",127.081783768587,7,"Coastal"
"HID115410",181.967738412296,3,"Plain"
"HID115529",32.5125556288412,22,"Tonle Sap"
"HID115569",151.409424301384,21,"Plain"
"HID115584",106.965456944322,3,"Plain"
"HID115626",39.2236157688618,23,"Coastal"
"HID115627",388.733320684173,22,"Tonle Sap"
"HID115725",145.053767516834,6,"Tonle Sap"
"HID115740",104.462588082619,17,"Tonle Sap"
"HID115743",157.93708759867,6,"Tonle Sap"
"HID115747",234.558372518603,5,"Mountain"
"HID115854",199.158033708324,14,"Plain"
"HID115871",29.0733916365162,25,"Plain"
"HID115904",256.099103882616,2,"Tonle Sap"
"HID115977",33.1174348240512,25,"Plain"
"HID115995",61.943128099732,3,"Plain"
"HID116003",147.080025009584,4,"Tonle Sap"
"HID116371",18.0270548518587,5,"Mountain"
"HID116414",139.764989734985,2,"Tonle Sap"
"HID116518",119.737210967343,25,"Plain"
"HID116534",229.01508178976,25,"Plain"
"HID116575",174.471417066851,7,"Coastal"
"HID116661",151.188866596401,6,"Tonle Sap"
"HID116789",124.907408923749,17,"Tonle Sap"
"HID116889",70.5863039187223,4,"Tonle Sap"
"HID117044",118.998396122866,24,"Tonle Sap"
"HID117166",146.030681120011,14,"Plain"
"HID117174",175.687332701205,2,"Tonle Sap"
"HID117210",224.984127458349,25,"Plain"
"HID117269",221.031781456178,25,"Plain"
"HID117382",103.33998860682,2,"Tonle Sap"
"HID117397",114.654060105859,17,"Tonle Sap"
"HID117515",81.3811923007824,1,"Tonle Sap"
"HID117714",248.928802516557,2,"Tonle Sap"
"HID117744",29.3702156390264,14,"Plain"
"HID117824",151.441190014028,7,"Coastal"
"HID117853",161.764856144805,7,"Coastal"
"HID117928",22.726334980118,21,"Plain"
"HID118036",68.1933995849868,7,"Coastal"
"HID118073",121.579032194203,14,"Plain"
"HID118110",134.836434868185,2,"Tonle Sap"
"HID118174",37.9030376815205,10,"Mountain"
"HID118177",45.9118641378852,7,"Coastal"
"HID118288",136.0158887447,8,"Plain"
"HID118482",213.557276720203,25,"Plain"
"HID118603",141.193088314283,8,"Plain"
"HID118622",32.5524999443103,15,"Tonle Sap"
"HID118759",23.9449315694856,7,"Coastal"
"HID118845",197.968492277924,2,"Tonle Sap"
"HID119063",152.741544098101,2,"Tonle Sap"
"HID119064",27.7811025278371,NA,""
"HID119074",122.942360897338,3,"Plain"
"HID119102",125.269636273987,5,"Mountain"
"HID119117",38.6753789605359,NA,""
"HID119134",211.760520782054,25,"Plain"
"HID119145",166.560735378323,15,"Tonle Sap"
"HID119343",126.814445241144,8,"Plain"
"HID119378",169.212049817488,25,"Plain"
"HID119393",172.916559247326,19,"Mountain"
"HID119470",306.361748807802,2,"Tonle Sap"
"HID119540",80.6807437632018,21,"Plain"
"HID119613",118.998396122866,24,"Tonle Sap"
"HID119701",65.3842825573048,3,"Plain"
"HID119707",34.5678004929965,8,"Plain"
"HID119811",203.2216866242,25,"Plain"
"HID119850",113.564162687679,2,"Tonle Sap"
"HID119860",32.033591501914,25,"Plain"
"HID119874",174.860807446268,17,"Tonle Sap"
"HID119895",57.1052008095944,3,"Plain"
"HID119899",167.208674688612,7,"Coastal"
"HID120023",170.853339770958,21,"Plain"
"HID120154",137.075744548299,2,"Tonle Sap"
"HID120206",227.597378089155,7,"Coastal"
"HID120345",148.292176602036,10,"Mountain"
"HID120414",192.556109846775,14,"Plain"
"HID120453",208.733332590366,8,"Plain"
"HID120487",133.41150816699,5,"Mountain"
"HID120524",265.522946587909,1,"Tonle Sap"
"HID120619",223.773506626508,2,"Tonle Sap"
"HID120683",90.6048246782801,14,"Plain"
"HID120947",143.237852296238,2,"Tonle Sap"
"HID120976",25.6853981461476,18,"Coastal"
