"hhid","feed_Chickens","feed_Cattle","irrigation","drought","flood","extension_training","animal_ded_area","rice","fhh","covid_shock","ag_comm"
"HID100022",1,1,1,0,0,NA,1,0,0,1,2
"HID100123",1,1,1,0,1,NA,1,0,0,1,2
"HID100505",NA,NA,1,0,0,NA,0,1,0,1,2
"HID100568",2,1,1,0,1,NA,1,1,0,1,2
"HID100622",1,NA,1,0,0,NA,1,1,0,1,2
"HID100703",NA,1,1,0,0,NA,0,1,0,1,2
"HID100709",NA,1,NA,0,0,NA,1,0,0,1,2
"HID100767",NA,1,1,0,0,NA,1,0,0,1,2
"HID100830",NA,NA,NA,0,0,NA,1,0,1,1,2
"HID100960",NA,1,NA,0,0,NA,1,0,1,1,2
"HID101040",1,NA,0,0,0,NA,1,1,1,1,2
"HID101076",1,1,1,0,0,NA,1,1,0,1,2
"HID101086",1,NA,NA,0,0,NA,0,0,0,2,2
"HID101130",2,2,1,0,0,NA,1,1,1,1,2
"HID101147",NA,1,1,0,0,NA,0,0,0,1,2
"HID101152",1,NA,1,0,1,NA,1,1,1,1,2
"HID101200",1,1,1,0,0,NA,0,1,0,1,2
"HID101213",2,NA,1,1,0,NA,1,0,1,1,2
"HID101260",2,NA,1,0,0,NA,1,1,0,1,2
"HID101624",1,NA,1,0,0,NA,1,1,0,1,2
"HID101636",1,1,0,0,0,NA,0,1,0,1,2
"HID101774",1,1,1,0,0,NA,1,1,0,1,2
"HID101937",NA,1,0,0,0,NA,0,1,0,2,2
"HID102011",NA,NA,1,0,0,NA,0,0,0,2,2
"HID102100",1,1,1,0,0,NA,1,1,0,1,2
"HID102181",2,1,0,0,0,0,1,1,1,1,2
"HID102229",2,NA,1,0,0,NA,0,1,0,2,2
"HID102441",1,NA,1,0,0,NA,1,0,0,1,2
"HID102496",1,1,1,0,0,NA,1,1,0,1,2
"HID102562",1,NA,1,0,0,NA,1,0,0,1,2
"HID102779",1,NA,1,0,0,NA,0,1,0,1,2
"HID102839",NA,NA,1,0,0,NA,1,1,1,1,2
"HID102877",1,1,1,0,1,NA,1,1,1,2,2
"HID102931",NA,1,1,0,0,NA,1,1,0,2,2
"HID103006",1,NA,1,0,0,NA,1,1,1,1,2
"HID103057",1,NA,1,0,0,NA,0,1,0,1,2
"HID103066",2,NA,1,0,0,NA,1,1,1,1,2
"HID103140",2,NA,1,0,0,NA,1,0,0,1,2
"HID103196",1,NA,1,0,0,NA,1,1,0,1,2
"HID103225",1,1,0,0,0,NA,1,1,0,1,2
"HID103340",NA,1,1,0,1,NA,0,1,0,1,2
"HID103410",1,NA,1,0,0,NA,0,0,1,1,2
"HID103416",2,NA,0,1,0,NA,1,1,0,1,2
"HID103572",1,NA,1,0,0,NA,1,1,1,1,2
"HID103647",NA,1,1,0,0,NA,0,1,0,1,2
"HID103775",1,NA,1,0,0,NA,0,0,0,1,2
"HID103871",1,1,1,0,0,NA,1,1,0,1,2
"HID103915",2,1,1,1,0,NA,1,1,0,1,2
"HID103986",NA,1,1,0,0,NA,1,1,1,1,2
"HID103990",1,1,1,1,0,NA,1,1,1,1,2
"HID104034",1,NA,1,0,0,NA,1,1,1,1,2
"HID104238",2,NA,1,0,0,NA,1,1,0,1,2
"HID104328",2,NA,1,0,0,NA,0,1,0,1,2
"HID104349",2,NA,1,0,0,NA,0,0,1,1,2
"HID104451",1,NA,1,0,0,NA,1,0,1,2,2
"HID104495",2,NA,1,0,0,NA,0,1,0,1,2
"HID104497",1,NA,1,0,0,NA,1,1,1,1,2
"HID104607",2,NA,0,0,0,NA,1,1,0,2,2
"HID104779",NA,1,1,0,0,NA,0,1,0,1,2
"HID104786",1,1,1,1,1,NA,1,1,0,2,2
"HID104920",1,NA,1,0,0,NA,1,1,1,1,2
"HID104929",1,NA,1,0,0,NA,1,0,0,1,2
"HID105113",2,NA,NA,0,0,NA,0,0,0,1,2
"HID105181",1,NA,0,0,0,NA,1,1,0,1,2
"HID105281",NA,1,1,0,0,NA,1,1,0,1,2
"HID105463",1,NA,1,0,0,NA,1,1,0,2,2
"HID105557",2,NA,1,0,0,NA,1,0,0,1,2
"HID105612",1,NA,1,0,0,NA,1,1,0,1,2
"HID105858",1,NA,NA,0,0,NA,1,0,0,1,2
"HID105861",1,NA,1,0,0,NA,0,1,0,1,2
"HID105878",NA,1,1,0,0,NA,1,1,0,1,2
"HID105943",NA,1,0,0,0,NA,1,1,0,1,2
"HID105944",2,1,1,0,0,NA,1,0,0,1,2
"HID105976",1,1,1,0,1,NA,1,1,0,1,2
"HID106020",NA,1,1,0,0,NA,0,1,1,1,2
"HID106089",1,NA,1,0,0,NA,0,0,0,1,2
"HID106192",1,NA,1,0,0,NA,0,1,0,1,2
"HID106199",NA,1,NA,0,0,NA,0,0,0,1,2
"HID106297",2,2,1,0,0,NA,1,1,0,2,2
"HID106338",3,NA,0,1,1,NA,1,1,1,2,2
"HID106354",1,NA,0,0,0,NA,1,0,0,1,2
"HID106381",1,1,1,0,0,NA,0,1,0,1,2
"HID106472",2,NA,1,0,0,NA,0,1,0,1,2
"HID106720",1,NA,0,0,0,NA,1,0,0,1,2
"HID106741",NA,1,1,0,0,NA,1,0,0,2,2
"HID106763",NA,1,1,1,0,NA,1,1,0,1,2
"HID106833",1,NA,1,0,0,NA,0,1,0,1,2
"HID106842",2,NA,1,0,0,NA,1,1,0,1,2
"HID107036",1,NA,NA,0,0,NA,1,0,0,1,2
"HID107054",NA,1,1,0,0,NA,1,1,0,1,2
"HID107178",2,NA,0,0,0,NA,1,1,0,2,2
"HID107233",NA,1,1,0,0,NA,1,1,1,2,2
"HID107298",1,1,1,0,0,NA,0,0,0,1,2
"HID107333",2,NA,1,0,0,NA,0,0,0,1,2
"HID107374",2,NA,0,0,0,NA,0,1,0,2,2
"HID107433",1,NA,0,1,0,NA,0,1,0,1,2
"HID107458",1,NA,0,0,0,NA,1,1,0,1,2
"HID107544",2,NA,1,0,0,NA,0,0,1,1,2
"HID107683",1,1,1,0,0,NA,1,1,0,1,2
"HID107789",2,1,1,0,0,NA,1,1,0,1,2
"HID107794",1,NA,1,0,0,NA,1,0,0,1,2
"HID107830",NA,1,1,0,0,NA,1,0,0,1,2
"HID107954",NA,NA,1,0,0,NA,1,1,1,2,2
"HID108190",NA,1,0,0,0,NA,1,1,0,1,2
"HID108223",2,NA,1,0,1,NA,0,0,0,1,2
"HID108301",1,1,1,0,0,NA,1,1,1,1,2
"HID108322",1,1,1,0,0,NA,1,1,0,1,2
"HID108329",1,NA,1,0,0,NA,1,1,1,1,2
"HID108487",1,1,1,0,0,NA,1,1,0,1,2
"HID108666",2,2,1,0,0,NA,1,0,0,2,2
"HID108823",2,NA,1,0,0,NA,1,1,1,1,2
"HID108825",NA,1,0,0,0,NA,1,1,0,1,2
"HID108830",NA,NA,1,0,0,NA,1,1,1,1,2
"HID108879",1,NA,NA,0,0,NA,1,0,0,1,2
"HID108915",NA,1,1,0,0,NA,1,1,1,1,2
"HID108977",NA,NA,1,0,0,NA,0,0,0,1,2
"HID109004",1,1,1,0,0,NA,1,1,1,1,2
"HID109018",1,1,1,0,0,NA,1,1,0,2,2
"HID109028",1,1,1,0,0,NA,1,1,0,1,2
"HID109256",1,NA,1,1,0,NA,0,1,1,1,2
"HID109257",2,NA,1,0,1,NA,1,1,1,1,2
"HID109458",1,1,1,0,0,NA,1,1,0,1,2
"HID109658",NA,2,1,0,0,NA,0,1,0,1,1
"HID109748",1,1,1,0,0,NA,1,1,0,1,2
"HID109761",2,NA,0,1,0,NA,0,1,0,1,2
"HID109937",1,NA,1,0,0,NA,0,1,0,1,2
"HID109947",NA,1,0,0,0,NA,1,1,1,2,2
"HID109975",2,1,1,0,0,NA,1,0,0,1,2
"HID110056",2,NA,1,0,1,NA,1,0,0,2,2
"HID110113",1,NA,1,0,0,NA,1,0,0,1,2
"HID110309",NA,1,1,0,0,NA,1,1,0,1,2
"HID110378",2,NA,1,0,0,NA,1,0,0,1,2
"HID110388",2,NA,0,0,0,NA,1,1,0,1,2
"HID110491",1,NA,0,0,0,NA,1,1,0,1,2
"HID110587",2,2,1,0,0,NA,1,1,0,1,2
"HID110619",1,NA,1,0,0,NA,1,0,1,1,2
"HID110713",1,1,NA,0,0,NA,0,0,1,1,2
"HID110928",2,NA,1,0,0,NA,0,1,0,1,2
"HID110989",NA,1,0,0,0,NA,1,1,0,1,2
"HID111085",1,NA,1,0,0,NA,1,1,0,1,2
"HID111159",NA,1,1,0,1,NA,0,1,1,1,2
