"hhid","province","raised_Poultry","raised_cattle_buffalo","raised_Livestock","raised_Livestock_Poultry","ag_hh_homelot","ag_area_homelot","ag_hh_parcel","ag_area_parcel","ag_hh","ag_area","zone","fhh","edu_hh","edu_hh_head","covid_shock","ag_comm","ag_assoc","ag_comm_assoc","animal_area","animal_ded_area","homelot_area","parcel_area","holding_area","animal_area_rate","rice","rice_harv_sold_pct","sold_rice","rice_area_agland_pct","rice_area_total_pct","rice_price_impt","value_rice_prod","rice_price","cashew","area_cashew_harvested","area_cashew_planted","qty_cashew_harvested","qty_cashew_own_use","qty_cashew_sale","qty_cashew_gift","qty_cashew_pay","qty_cashew_feed","qty_cashew_seed","qty_cashew_lost","qty_cashew_processed","cashew_harv_sold_pct","sold_cashew","cashew_area_agland_pct","cashew_area_total_pct","cashew_price_impt","value_cashew_prod","cashew_price","animal_disease","irrigation","drought","flood","ag_extension_training","family_hours","family_full_days","family_work_days"
"HID100022",5,1,1,1,1,1,0.024,1,0.1764,1,0.20039999,"Mountain",0,2,2,0,0,0,0,0.0167999994009733,1,0.024,0.176400005817413,0.20040001,0.083832331,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,216,27,60
"HID100123",17,1,1,1,1,1,0.315,0,0,1,0.315,"Tonle Sap",0,0,0,0,0,0,0,0.0024999999441206,1,0.315,NA,0.315,0.0079365075,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,1,0,250,31.25,125
"HID100131",3,NA,NA,NA,NA,0,0,1,3,1,3,"Plain",0,2,2,0,0,0,0,NA,0,0.14,3,3.1400001,NA,1,0.375,1,1,0.955414,0,8400000,1050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,150,18.75,55
"HID100257",12,NA,NA,NA,NA,0,0,1,0.5,1,0.5,"Phnom Penh",0,2,2,0,0,0,0,NA,0,0.01,0.5,0.50999999,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,64,8,32
"HID100505",19,0,1,1,1,0,0,1,2,1,2,"Mountain",0,1,0,0,0,0,0,NA,0,0.25,2,2.25,NA,1,0,0,1,0.8888889,1,2400000,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,4136,517,612
"HID100568",1,1,1,1,1,1,0.045,1,1.5,1,1.545,"Tonle Sap",0,2,1,0,0,0,0,0.0020000000949949,1,0.045,1.5,1.545,0.0012944984,1,0.31818181,1,0.97087383,0.97087383,0,2310000,1050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,1,1,4480,560,600
"HID100622",17,1,0,0,1,1,0.032,1,2,1,2.0320001,"Tonle Sap",0,1,1,0,0,0,0,0.0020000000949949,1,0.032,2,2.0320001,0.00098425196,1,0,0,0.98425192,0.98425192,1,1440000,900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,3608,451,551
"HID100667",19,NA,NA,NA,NA,0,0,1,2,1,2,"Mountain",1,0,0,0,0,0,0,NA,0,0.06,2,2.0599999,NA,1,0,0,0.5,0.48543692,1,1190000,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,3136,392,392
"HID100703",8,0,1,1,1,1,0.011,1,1,1,1.011,"Plain",0,2,2,0,0,1,1,NA,0,0.011,1,1.011,NA,1,0,0,0.98911965,0.98911965,1,2e+06,800,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,2460,307.5,540
"HID100709",1,0,1,1,1,1,0.03,0,0,1,0.029999999,"Tonle Sap",0,1,1,0,0,0,0,0.0031999999191612,1,0.03,NA,0.029999999,0.10666667,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,540,67.5,270
