hhid,province,area_rice_harvested,area_rice_planted,qty_rice_harvested,qty_rice_own_use,qty_rice_sale,val_rice_harv,val_rice_own_use,val_rice_sale,val_rice_other,rice,value_rice_prod,area_cashew_harvested,area_cashew_planted,qty_cashew_harvested,qty_cashew_own_use,qty_cashew_sale,val_cashew_harv,val_cashew_own_use,val_cashew_sale,val_cashew_other,cashew_price,cashew,cashew_harv_sold_pct,sold_cashew,cashew_area_agland_pct,cashew_area_total_pct,value_cashew_prod,zone
id_000019,25,4,4,9000,2250,4500,9000000,2250000,4500000,2250000,1,70600000,0,0,0,0,0,0,0,0,0,,0,,,,,70600000,Plain
id_000025,8,1,1,5800,1450,4350,4756000,1189000,3567000,0,1,4756000,0,0,0,0,0,0,0,0,0,,0,,,,,4756000,Plain
id_000027,16,.5,.5,500,500,0,500000,500000,0,0,1,1400000,0,0,300,0,300,900000,0,900000,0,3000,1,1,1,0,0,1400000,Mountain
id_000029,3,.05,.05,300,300,0,243000,243000,0,0,1,903000,0,0,0,0,0,0,0,0,0,,0,,,,,903000,Plain
id_000040,6,1.4,1.4,3100,1550,1550,2790000,1395000,1395000,0,1,2790000,0,0,0,0,0,0,0,0,0,,0,,,,,2790000,Tonle Sap
id_000044,14,1,1,8000,1600,6400,6400000,1280000,5120000,0,1,6400000,0,0,0,0,0,0,0,0,0,,0,,,,,6400000,Plain
id_000059,5,.43,.43,1200,1200,0,1320000,1320000,0,0,1,1380000,0,0,0,0,0,0,0,0,0,,0,,,,,1380000,Mountain
id_000061,7,2.75,2.75,6000,1500,4500,6900000,1725000,5175000,0,1,8030000,0,0,0,0,0,0,0,0,0,,0,,,,,8030000,Coastal
id_000072,6,0,0,0,0,0,0,0,0,0,0,1518000,0,0,0,0,0,0,0,0,0,,0,,,,,1518000,Tonle Sap
id_000080,17,.5,.5,1200,1200,0,1080000,1080000,0,0,1,1105000,0,0,0,0,0,0,0,0,0,,0,,,,,1105000,Tonle Sap
id_000098,6,0,0,0,0,0,0,0,0,0,0,9670000,0,0,0,0,0,0,0,0,0,,0,,,,,9670000,Tonle Sap
id_000105,24,0,0,0,0,0,0,0,0,0,0,59500000,0,0,0,0,0,0,0,0,0,,0,,,,,59500000,Tonle Sap
id_000106,7,1.1,1.1,1620,810,810,1701000,850500,850500,0,1,3501000,0,0,0,0,0,0,0,0,0,,0,,,,,3501000,Coastal
id_000119,17,0,0,0,0,0,0,0,0,0,0,70000,0,0,0,0,0,0,0,0,0,,0,,,,,70000,Tonle Sap
id_000130,11,1,1,2800,0,2800,2800000,0,2800000,0,1,5600000,0,0,0,0,0,0,0,0,0,,0,,,,,5600000,Mountain
id_000134,18,.4,.4,600,570,0,480000,456000,0,24000,1,630000,0,0,0,0,0,0,0,0,0,,0,,,,,630000,Coastal
id_000140,5,.64,.64,1800,1350,450,1980000,1485000,495000,0,1,2000000,0,0,0,0,0,0,0,0,0,,0,,,,,2000000,Mountain
