hhid,province,weight,zone
id_000019,25,90.2156491217447,Plain
id_000025,8,72.438994351196,Plain
id_000027,16,77.3397227948458,Mountain
id_000029,3,96.2785245335772,Plain
id_000040,6,175.335878664617,Tonle Sap
id_000044,14,54.0975469574944,Plain
id_000059,5,85.17022932043081,Mountain
id_000061,7,34.0551615980628,Coastal
id_000072,6,138.844467890352,Tonle Sap
id_000080,17,90.9013649241285,Tonle Sap
id_000098,6,68.3236157864155,Tonle Sap
id_000105,24,17.8808596048532,Tonle Sap
id_000106,7,98.31117968309,Coastal
id_000119,17,393.283187009108,Tonle Sap
id_000130,11,57.9151178088122,Mountain
id_000134,18,67.4622614863529,Coastal
id_000140,5,103.685496564003,Mountain
id_000158,22,176.524577526648,Tonle Sap
id_000175,2,77.56451842951481,Tonle Sap
id_000196,21,75.0352449751509,Plain
id_000200,14,102.132017715768,Plain
id_000216,11,130.862109361295,Mountain
id_000218,20,231.129196221633,Plain
id_000246,4,149.455360162162,Tonle Sap
id_000247,7,104.191105879564,Coastal
id_000256,22,268.86051038674,Tonle Sap
id_000258,25,141.112713198451,Plain
id_000259,5,45.3935830940191,Mountain
id_000283,8,134.47634676754,Plain
id_000299,21,151.55545728465,Plain
id_000304,20,123.225606112669,Plain
id_000329,3,29.7558117665837,Plain
id_000345,23,35.2907841577768,Coastal
id_000354,7,99.7421729927145,Coastal
id_000362,7,91.0391794668798,Coastal
id_000400,1,135.13838354909,Tonle Sap
id_000405,8,22.8363137257761,Plain
id_000436,25,36.1262770207639,Plain
id_000438,10,72.93215406562049,Mountain
id_000447,5,144.386031413695,Mountain
id_000449,5,95.6367396778197,Mountain
id_000455,8,28.214463379542,Plain
id_000459,22,99.0839584699539,Tonle Sap
id_000470,11,29.4525003300713,Mountain
id_000485,2,234.266214356927,Tonle Sap
id_000510,7,30.7222436509655,Coastal
id_000519,17,236.933435292711,Tonle Sap
id_000527,14,51.6879487641967,Plain
id_000559,8,48.7002294174478,Plain
id_000577,25,106.253755943423,Plain
id_000583,6,173.529387793527,Tonle Sap
id_000615,10,198.916002632123,Mountain
id_000619,17,148.926195456508,Tonle Sap
id_000622,12,186.448500428449,Phnom Penh
id_000629,24,31.306380966868,Tonle Sap
id_000630,15,123.271462887491,Tonle Sap
id_000640,18,24.471308465717,Coastal
id_000646,3,47.0450757017733,Plain
id_000659,4,24.8905514193585,Tonle Sap
id_000674,14,34.8534586932778,Plain
id_000676,20,85.93421687456009,Plain
id_000685,22,161.814196066094,Tonle Sap
id_000687,24,23.3249215879481,Tonle Sap
id_000696,14,194.29376742644,Plain
id_000720,3,119.180858444492,Plain
id_000724,14,158.514006595345,Plain
id_000737,6,142.588415554258,Tonle Sap
id_000744,14,178.157608369601,Plain
id_000753,24,17.8134411982995,Tonle Sap
id_000762,7,141.759224779499,Coastal
id_000766,24,17.8808596048532,Tonle Sap
id_000768,7,53.5944934067188,Coastal
id_000771,24,23.9728360765022,Tonle Sap
id_000786,14,276.893176057944,Plain
id_000794,14,158.256797037922,Plain
id_000815,1,104.848745857052,Tonle Sap
id_000821,17,92.1816658385529,Tonle Sap
id_000831,6,236.319818444683,Tonle Sap
id_000835,14,51.578592442844,Plain
id_000837,14,84.2328965039386,Plain
id_000878,8,26.1368537044507,Plain
id_000887,21,172.410289031322,Plain
id_000890,5,63.439037857446,Mountain
id_000893,2,172.726728232329,Tonle Sap
id_000894,20,203.770153108276,Plain
id_000904,12,209.692478619554,Phnom Penh
id_000947,14,181.60967553862,Plain
id_000962,11,55.1887176916653,Mountain
id_000963,3,145.622315940786,Plain
id_000967,4,244.684019895874,Tonle Sap
id_000974,25,28.3809374427826,Plain
id_000982,21,119.676213390683,Plain
id_000999,7,100.708925337898,Coastal
id_001015,11,93.1001087356712,Mountain
id_001018,24,42.9551906535329,Tonle Sap
id_001045,1,264.088996283388,Tonle Sap
id_001068,6,107.138693193317,Tonle Sap
id_001082,14,181.60967553862,Plain
id_001084,14,237.771009893016,Plain
id_001089,17,213.306880610598,Tonle Sap
id_001099,14,143.726809546164,Plain
id_001109,1,210.67099476243,Tonle Sap
id_001112,20,110.683271334433,Plain
id_001115,3,145.622315940786,Plain
id_001119,20,71.0229225065558,Plain
id_001143,25,120.925025990872,Plain
id_001144,22,131.419952018919,Tonle Sap
id_001146,21,60.069264491697,Plain
id_001150,6,115.494179249823,Tonle Sap
id_001167,14,142.876814052831,Plain
